Date,Open,High,Low,Close,Volume,Adj Close
03/02/20,39701.01953,40014.89844,39563.07031,39872.30859,10600,39872.30859
04/02/20,40178.73828,40818.94141,40117.46094,40789.37891,15300,40789.37891
05/02/20,40921.71094,41177,40703.32031,41142.66016,13900,41142.66016
06/02/20,41209.12891,41405.42969,41113.10938,41306.03125,15000,41306.03125
07/02/20,41394.41016,41394.41016,41073.35938,41141.85156,15300,41141.85156
10/02/20,41166.71875,41172.05859,40798.98047,40979.62109,15200,40979.62109
11/02/20,41183.39063,41444.33984,41179.14063,41216.14063,7700,41216.14063
12/02/20,41330.85156,41671.85938,41330.85156,41565.89844,9600,41565.89844
13/02/20,41707.21094,41709.30078,41338.30859,41459.78906,9100,41459.78906
14/02/20,41510.19141,41702.35938,41183.12891,41257.73828,9800,41257.73828
17/02/20,41324.03906,41420.33984,41030.57813,41055.69141,6900,41055.69141
18/02/20,41042.46094,41042.46094,40610.94922,40894.37891,12300,40894.37891
19/02/20,41121.51172,41357.16016,41048.92969,41323,5600,41323
20/02/20,41334.96094,41399.92969,41134.30859,41170.12109,8400,41170.12109
24/02/20,41037.01172,41037.01172,40306.35938,40363.23047,8100,40363.23047
25/02/20,40497.71875,40536,40220.58984,40281.19922,7300,40281.19922
26/02/20,40194.89063,40255.39063,39760.39063,39888.96094,9000,39888.96094
27/02/20,39947.80078,39947.80078,39423.26953,39745.66016,9600,39745.66016
28/02/20,39087.46875,39087.46875,38219.96875,38297.28906,12700,38297.28906
